depSeq,lemmaSeq,posSeq,_text,tagSeq
 nsubj ROOT prep pobj prep pobj punct ," -PRON- go to school by bus . 

", PRON VERB ADP NOUN ADP NOUN PUNCT SPACE,"I go to school by bus.

", PRP VBP IN NN IN NN . _SP
 det nsubj ROOT npadvmod punct amod compound dobj prep amod pobj punct ," this module implement pseudo - random number generator for various distribution . 

", DET NOUN VERB NOUN ADJ ADJ NOUN NOUN ADP ADJ NOUN PUNCT SPACE,"This module implements pseudo-random number generators for various distributions.

", DT NN VBZ NN JJ JJ NN NNS IN JJ NNS . _SP
 prep pobj punct ROOT dobj prep det pobj punct," for integer , uniform selection from a range .", ADP NOUN PUNCT ADJ NOUN ADP DET NOUN PUNCT,"For integers, uniform selection from a range."," IN NNS , JJ NN IN DT NN ."
 prep pobj punct amod ROOT prep det amod pobj punct det appos aux relcl det amod dobj prep det pobj prep punct pobj punct cc det conj prep amod pobj prep pobj punct ," for sequence , uniform selection of a random element , a function to generate a random permutation of a list in - place , and a function for random sampling without replacement . 

", ADP NOUN PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT DET NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP PUNCT NOUN PUNCT CCONJ DET NOUN ADP ADJ NOUN ADP NOUN PUNCT SPACE,"For sequences, uniform selection of a random element, a function to generate a random permutation of a list in-place, and a function for random sampling without replacement.

"," IN NNS , JJ NN IN DT JJ NN , DT NN TO VB DT JJ NN IN DT NN IN HYPH NN , CC DT NN IN JJ NN IN NN . _SP"
 prep det amod pobj punct expl ROOT attr aux relcl amod punct amod punct appos punct punct conj punct amod conj punct conj punct cc conj dobj punct," on the real line , there be function to compute uniform , normal ( Gaussian ) , lognormal , negative exponential , gamma , and beta distribution .", ADP DET ADJ NOUN PUNCT PRON AUX NOUN PART VERB NOUN PUNCT ADJ PUNCT PROPN PUNCT PUNCT PROPN PUNCT ADJ NOUN PUNCT NOUN PUNCT CCONJ NOUN NOUN PUNCT,"On the real line, there are functions to compute uniform, normal (Gaussian), lognormal, negative exponential, gamma, and beta distributions."," IN DT JJ NN , EX VBP NNS TO VB NN , JJ -LRB- NNP -RRB- , NNP , JJ NN , NN , CC NN NNS ."
 prep amod pobj prep pobj punct det compound compound nsubj ROOT acomp punct ," for generate distribution of angle , the von Mises distribution be available . 

", ADP VERB NOUN ADP NOUN PUNCT DET PROPN PROPN NOUN AUX ADJ PUNCT SPACE,"For generating distributions of angles, the von Mises distribution is available.

"," IN VBG NNS IN NNS , DT NNP NNP NN VBZ JJ . _SP"
 advmod nummod compound nsubj ROOT prep det amod pobj amod punct punct punct nsubj relcl det amod dobj advmod prep det dep dep amod pobj punct appos punct appos punct punct," almost all module function depend on the basic function random ( ) , which generate a random float uniformly in the semi - open range [ 0.0 , 1.0 ) .", ADV DET NOUN NOUN VERB ADP DET ADJ NOUN PROPN PUNCT PUNCT PUNCT DET VERB DET ADJ NOUN ADV ADP DET ADJ ADJ ADJ NOUN PUNCT NUM PUNCT NUM PUNCT PUNCT,"Almost all module functions depend on the basic function random(), which generates a random float uniformly in the semi-open range [0.0, 1.0)."," RB DT NN NNS VBP IN DT JJ NN NNP -LRB- -RRB- , WDT VBZ DT JJ NN RB IN DT JJ JJ JJ NN -LRB- CD , CD -RRB- ."
 nsubj ROOT det compound dobj prep det compound pobj punct, Python use the Mersenne Twister as the core generator ., PROPN VERB DET PROPN PROPN SCONJ DET NOUN NOUN PUNCT,Python uses the Mersenne Twister as the core generator., NNP VBZ DT NNP NNP IN DT NN NN .
 nsubj ROOT nummod compound dobj cc conj det dobj prep pobj punct prep punct, -PRON- produce 53-bit precision float and have a period of 2**19937 - 1 ., PRON VERB NUM NOUN NOUN CCONJ AUX DET NOUN ADP NUM SYM NUM PUNCT,It produces 53-bit precision floats and has a period of 2**19937-1., PRP VBZ CD NN NNS CC VBZ DT NN IN CD SYM CD .
 det amod nsubj prep pobj ROOT preconj acomp cc conj punct, the underlying implementation in C be both fast and threadsafe ., DET ADJ NOUN ADP PROPN AUX CCONJ ADJ CCONJ NOUN PUNCT,The underlying implementation in C is both fast and threadsafe., DT JJ NN IN NNP VBZ CC JJ CC NN .
 det compound nsubj ROOT attr prep det advmod advmod amod amod compound pobj prep pobj punct, the Mersenne Twister be one of the most extensively test random number generator in existence ., DET PROPN PROPN AUX NUM ADP DET ADV ADV VERB ADJ NOUN NOUN ADP NOUN PUNCT,The Mersenne Twister is one of the most extensively tested random number generators in existence., DT NNP NNP VBZ CD IN DT RBS RB VBN JJ NN NNS IN NN .
 advmod punct advcl advmod acomp punct nsubj ROOT neg acomp prep det pobj punct cc conj advmod acomp prep amod pobj punct," however , be completely deterministic , -PRON- be not suitable for all purpose , and be completely unsuitable for cryptographic purpose .", ADV PUNCT AUX ADV ADJ PUNCT PRON AUX PART ADJ ADP DET NOUN PUNCT CCONJ AUX ADV ADJ ADP ADJ NOUN PUNCT,"However, being completely deterministic, it is not suitable for all purposes, and is completely unsuitable for cryptographic purposes."," RB , VBG RB JJ , PRP VBZ RB JJ IN DT NNS , CC VBZ RB JJ IN JJ NNS ."
