_text,lemmaSeq,depSeq,tagSeq,posSeq
"I go to school by bus.
"," I go to school by bus . 
", nsubj ROOT prep pobj prep pobj punct dep, PRP VBP IN NN IN NN . _SP, PRON VERB ADP NOUN ADP NOUN PUNCT SPACE
"She go to work by taxi.
"," she go to work by taxi . 
", nsubj ROOT prep pobj prep pobj punct dep, PRP VBP IN NN IN NN . _SP, PRON VERB ADP NOUN ADP NOUN PUNCT SPACE
"module implements generators for distributions.
"," module implement generator for distribution . 
", nsubj ROOT dobj prep pobj punct dep, NN VBZ NNS IN NNS . _SP, NOUN VERB NOUN ADP NOUN PUNCT SPACE
"For integers, uniform selection from range."," for integer , uniform selection from range .", prep pobj punct amod ROOT prep pobj punct," IN NNS , JJ NN IN NN .", ADP NOUN PUNCT ADJ NOUN ADP NOUN PUNCT
"For sequences, selection of element, function to generate permutation of list in-place, and a function for sampling without replacement.
"," for sequence , selection of element , function to generate permutation of list in - place , and a function for sample without replacement . 
", prep pobj punct appos prep pobj punct ROOT aux xcomp dobj prep pobj prep punct pobj punct cc det conj prep pcomp prep pobj punct dep," IN NNS , NN IN NN , VBP TO VB NN IN NN IN HYPH NN , CC DT NN IN VBG IN NN . _SP", ADP NOUN PUNCT NOUN ADP NOUN PUNCT VERB PART VERB NOUN ADP NOUN ADP PUNCT NOUN PUNCT CCONJ DET NOUN ADP VERB ADP NOUN PUNCT SPACE
"On line, there are functions to compute uniform, Gaussian), lognormal, exponential, gamma, and distributions."," on line , there be function to compute uniform , Gaussian ) , lognormal , exponential , gamma , and distribution .", prep pobj punct expl ROOT attr aux acl dobj punct appos punct punct conj punct conj punct conj punct cc conj punct," IN NN , EX VBP NNS TO VB NN , NNP -RRB- , NNP , NN , NN , CC NNS .", ADP NOUN PUNCT PRON VERB NOUN PART VERB NOUN PUNCT PROPN PUNCT PUNCT PROPN PUNCT NOUN PUNCT NOUN PUNCT CCONJ NOUN PUNCT
"For distributions of angles, distribution is available.
"," for distribution of angle , distribution be available . 
", prep pobj prep pobj punct nsubj ROOT acomp punct dep," IN NNS IN NNS , NN VBZ JJ . _SP", ADP NOUN ADP NOUN PUNCT NOUN AUX ADJ PUNCT SPACE
"functions depend on function random(), which generates float uniformly in range [0.0, 1.0)."," function depend on function random ( ) , which generate float uniformly in range [ 0.0 , 1.0 ) .", nsubj ROOT prep pobj advcl punct punct punct nsubj relcl dobj advmod prep pobj nmod npadvmod punct appos punct punct," NNS VBP IN NN JJ -LRB- -RRB- , WDT VBZ NN RB IN NN XX CD , CD -RRB- .", NOUN VERB ADP NOUN ADJ PUNCT PUNCT PUNCT PRON VERB NOUN ADV ADP NOUN X NUM PUNCT NUM PUNCT PUNCT
Python uses Twister as generator., Python use Twister as generator ., nsubj ROOT dobj prep pobj punct, NNP VBZ NNP IN NN ., PROPN VERB PROPN ADP NOUN PUNCT
It produces floats and has period of 2**19937-1., it produce float and have period of 2**19937 - 1 ., nsubj ROOT dobj cc conj dobj prep pobj punct prep punct, PRP VBZ NNS CC VBZ NN IN CD HYPH CD ., PRON VERB NOUN CCONJ VERB NOUN ADP NUM PUNCT NUM PUNCT
implementation in C is both fast and threadsafe., implementation in C be both fast and threadsafe ., nsubj prep pobj ROOT preconj acomp cc conj punct, NN IN NNP VBZ DT JJ CC NN ., NOUN ADP PROPN AUX PRON ADJ CCONJ NOUN PUNCT
Twister is one of generators in existence., Twister be one of generator in existence ., nsubj ROOT attr prep pobj prep pobj punct, NNP VBZ CD IN NNS IN NN ., PROPN AUX NUM ADP NOUN ADP NOUN PUNCT
"However, being completely deterministic, it is not suitable for purposes, and is completely unsuitable for purposes.
"," however , be completely deterministic , it be not suitable for purpose , and be completely unsuitable for purpose . 
", advmod punct advcl advmod acomp punct nsubj ROOT neg acomp prep pobj punct cc conj advmod acomp prep pobj punct dep," RB , VBG RB JJ , PRP VBZ RB JJ IN NNS , CC VBZ RB JJ IN NNS . _SP", ADV PUNCT AUX ADV ADJ PUNCT PRON AUX PART ADJ ADP NOUN PUNCT CCONJ AUX ADV ADJ ADP NOUN PUNCT SPACE
"If you go to destination by bus, you will be late.
"," if you go to destination by bus , you will be late . 
", mark nsubj advcl prep pobj prep pobj punct nsubj aux ROOT acomp punct dep," IN PRP VBP IN NN IN NN , PRP MD VB JJ . _SP", SCONJ PRON VERB ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADJ PUNCT SPACE
"If you go to destination by taxi, you will be on time."," if you go to destination by taxi , you will be on time .", mark nsubj advcl prep pobj prep pobj punct nsubj aux ROOT prep pobj punct," IN PRP VBP IN NN IN NN , PRP MD VB IN NN .", SCONJ PRON VERB ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP NOUN PUNCT
