posSeq,tagSeq,depSeq,lemmaSeq,_text
 NOUN VERB NOUN PUNCT, NN VBZ NN ., nsubj ROOT dobj punct, instance encapsulate connection .,instance encapsulates connection.
 PRON VERB NOUN PRON VERB NOUN ADP NOUN PUNCT, PRP VBZ NNS WDT VBP NN IN NNS ., nsubj ROOT dobj nsubj relcl dobj prep pobj punct, it have method that support repertoire of operation .,It has methods that support repertoire of operations.
 SCONJ NOUN AUX VERB PUNCT NOUN AUX VERB ADP NOUN ADP NOUN PUNCT," IN NNS VBP VBN , NN VBZ VBN IN NNS IN NN .", mark nsubjpass auxpass advcl punct nsubjpass auxpass ROOT prep pobj prep pobj punct," if parameter be give , method be call with parameter during initialization .","If parameters are given, method is called with parameters during initialization."
 SCONJ VERB PUNCT PROPN AUX VERB ADP NOUN ADP NOUN ADP NOUN PUNCT," IN VBN , NNP VBZ VBN IN NN IN NN IN NN .", mark advcl punct nsubjpass auxpass ROOT prep pobj prep pobj prep pobj punct," if specify , local_hostname be use as fqdn of host in command .","If specified, local_hostname is used as FQDN of host in command."
 ADV PUNCT NOUN AUX VERB VERB PROPN PUNCT PUNCT PUNCT," RB , NN VBZ VBN VBG NNP -LRB- -RRB- .", advmod punct nsubjpass auxpass ROOT xcomp dobj punct punct punct," otherwise , hostname be find use socket.getfqdn ( ) .","Otherwise, hostname is found using socket.getfqdn()."
 SCONJ DET NOUN PUNCT PUNCT NOUN NOUN PRON ADJ ADP NOUN PUNCT NOUN AUX VERB PUNCT," IN DT NN -LRB- -RRB- NN NNS NN JJ IN NN , NN VBZ VBN .", mark det amod punct punct advcl dobj oprd amod prep pobj punct nsubjpass auxpass ROOT punct," if the connect ( ) call return anything other than code , smtpconnecterror be raise .","If the connect() call returns anything other than code, SMTPConnectError is raised."
 PROPN PROPN NOUN ADP NOUN ADP VERB NOUN ADP NOUN PUNCT SCONJ PART VERB PUNCT VERB AUX AUX VERB PUNCT PUNCT," NNP NNP NN IN NNS IN VBG NNS IN NN -LRB- IN RB VBN , VBG MD VB VBN -RRB- .", compound compound nsubjpass prep pobj prep pcomp dobj prep pobj punct mark neg advcl punct nsubjpass aux auxpass ROOT punct punct," parameter specifies timeout in second for block operation like attempt ( if not specify , set will be use ) .","parameter specifies timeout in seconds for blocking operations like attempt (if not specified, setting will be used)."
 SCONJ NOUN VERB PUNCT PROPN AUX VERB PUNCT," IN NN VBZ , NNP VBZ VBN .", mark nsubj advcl punct nsubjpass auxpass ROOT punct," if timeout expire , TimeoutError be raise .","If timeout expires, TimeoutError is raised."
 NOUN VERB VERB PART VERB ADP NOUN ADP NOUN PUNCT CCONJ PART VERB PUNCT," NN VBZ VBG TO VB IN NN IN NNS , CC TO VB .", nsubj ROOT xcomp aux advcl prep pobj prep pobj punct cc aux conj punct," parameter allow bind to address in machine with interface , and/or to port .","parameter allows binding to address in machine with interfaces, and/or to port."
 PRON VERB NOUN PUNCT PUNCT SCONJ NOUN PART VERB ADP ADP NOUN ADP VERB PUNCT," PRP VBZ NN -RRB- , IN NN TO VB IN IN NN IN VBG .", nsubj ROOT dobj punct punct mark nsubj aux advcl prep prep pobj prep pcomp punct," it take port ) , for socket to bind to as address before connect .","It takes port), for socket to bind to as address before connecting."
 SCONJ VERB PUNCT CCONJ SCONJ NOUN CCONJ NOUN AUX PUNCT CCONJ PUNCT, IN VBN -LRB- CC IN NN CC NN VBP '' CC NFP, mark ROOT punct cc mark nsubj cc conj conj punct cc punct, if omit ( or if host or port be '' and/or 0,If omitted (or if host or port are '' and/or 0
 ADV PUNCT NOUN AUX AUX VERB PUNCT, RB -RRB- NN MD VB VBN ., advmod punct nsubjpass aux auxpass ROOT punct, respectively ) behavior will be use .,respectively) behavior will be used.
