_text,posSeq,tagSeq,depSeq,lemmaSeq,count
he goes to school by bus., PRON VERB ADP NOUN ADP NOUN PUNCT SPACE, PRP VBZ IN NN IN NN . _SP, nsubj ROOT prep pobj prep pobj punct dep, he go to school by bus . ,2
she goes to office by train., PRON VERB ADP NOUN ADP NOUN PUNCT SPACE, PRP VBZ IN NN IN NN . _SP, nsubj ROOT prep pobj prep pobj punct dep, she go to office by train . ,2
An SMTP instance encapsulates an SMTP connection., DET PROPN NOUN VERB DET PROPN NOUN PUNCT, DT NNP NN VBZ DT NNP NN ., det compound nsubj ROOT det compound dobj punct, an SMTP instance encapsulate an SMTP connection .,1
It has methods that support a full repertoire of SMTP and ESMTP operations., PRON VERB NOUN PRON VERB DET ADJ NOUN ADP PROPN CCONJ NOUN NOUN PUNCT, PRP VBZ NNS WDT VBP DT JJ NN IN NNP CC NN NNS ., nsubj ROOT dobj nsubj relcl det amod dobj prep nmod cc conj pobj punct, it have method that support a full repertoire of SMTP and esmtp operation .,1
"If the optional host and port parameters are given, the SMTP connect() method is called with those parameters during initialization.", SCONJ DET ADJ NOUN CCONJ NOUN NOUN AUX VERB PUNCT DET PROPN NOUN PUNCT PUNCT NOUN AUX VERB ADP DET NOUN ADP NOUN PUNCT," IN DT JJ NN CC NN NNS VBP VBN , DT NNP NN -LRB- -RRB- NN VBZ VBN IN DT NNS IN NN .", mark det amod nmod cc conj nsubjpass auxpass advcl punct det compound poss punct punct nsubjpass auxpass ROOT prep det pobj prep pobj punct," if the optional host and port parameter be give , the SMTP connect ( ) method be call with those parameter during initialization .",1
"If specified, local_hostname is used as the FQDN of the local host in the HELO/EHLO command.", SCONJ VERB PUNCT PROPN AUX VERB ADP DET NOUN ADP DET ADJ NOUN ADP DET PROPN SYM PROPN NOUN PUNCT," IN VBN , NNP VBZ VBN IN DT NN IN DT JJ NN IN DT NNP SYM NNP NN .", mark advcl punct nsubjpass auxpass ROOT prep det pobj prep det amod pobj prep det nmod punct compound pobj punct," if specify , local_hostname be use as the fqdn of the local host in the HELO / EHLO command .",1
"Otherwise, the local hostname is found using socket.getfqdn().", ADV PUNCT DET ADJ NOUN AUX VERB VERB PROPN PUNCT PUNCT PUNCT," RB , DT JJ NN VBZ VBN VBG NNP -LRB- -RRB- .", advmod punct det amod nsubjpass auxpass ROOT xcomp dobj punct punct punct," otherwise , the local hostname be find use socket.getfqdn ( ) .",1
"If the connect() call returns anything other than a success code, an SMTPConnectError is raised.", SCONJ DET NOUN PUNCT PUNCT NOUN NOUN PRON ADJ ADP DET NOUN NOUN PUNCT DET NOUN AUX VERB PUNCT," IN DT NN -LRB- -RRB- NN NNS NN JJ IN DT NN NN , DT NN VBZ VBN .", mark det amod punct punct advcl dobj oprd amod prep det compound pobj punct det nsubjpass auxpass ROOT punct," if the connect ( ) call return anything other than a success code , an smtpconnecterror be raise .",1
"The optional timeout parameter specifies a timeout in seconds for blocking operations like the connection attempt (if not specified, the global default timeout setting will be used).", DET ADJ NOUN NOUN VERB DET NOUN ADP NOUN ADP VERB NOUN ADP DET NOUN NOUN PUNCT SCONJ PART VERB PUNCT DET ADJ NOUN NOUN NOUN AUX AUX VERB PUNCT PUNCT," DT JJ NN NN VBZ DT NN IN NNS IN VBG NNS IN DT NN NN -LRB- IN RB VBN , DT JJ NN NN NN MD VB VBN -RRB- .", det amod compound nsubj ROOT det dobj prep pobj prep pcomp dobj prep det compound pobj punct mark neg advcl punct det amod compound compound nsubjpass aux auxpass parataxis punct punct," the optional timeout parameter specify a timeout in second for block operation like the connection attempt ( if not specify , the global default timeout setting will be use ) .",1
"If the timeout expires, TimeoutError is raised.", SCONJ DET NOUN VERB PUNCT PROPN AUX VERB PUNCT," IN DT NN VBZ , NNP VBZ VBN .", mark det nsubj advcl punct nsubjpass auxpass ROOT punct," if the timeout expire , TimeoutError be raise .",1
"The optional source_address parameter allows binding to some specific source address in a machine with multiple network interfaces, and/or to some specific source TCP port.", DET ADJ NOUN NOUN VERB VERB ADP DET ADJ NOUN NOUN ADP DET NOUN ADP ADJ NOUN NOUN PUNCT CCONJ ADP DET ADJ NOUN ADJ NOUN PUNCT," DT JJ NN NN VBZ VBG IN DT JJ NN NN IN DT NN IN JJ NN NNS , CC IN DT JJ NN JJ NN .", det amod compound nsubj ROOT ccomp prep det amod compound pobj prep det pobj prep amod compound pobj punct cc prep det amod compound compound pobj punct," the optional source_address parameter allow bind to some specific source address in a machine with multiple network interface , and/or to some specific source tcp port .",1
"It takes a 2-tuple (host, port), for the socket to bind to as its source address before connecting.", PRON VERB DET NUM PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT SCONJ DET NOUN PART VERB ADP ADP PRON NOUN NOUN ADP VERB PUNCT," PRP VBZ DT CD HYPH NN -LRB- NN , NN -RRB- , IN DT NN TO VB IN IN PRP$ NN NN IN VBG .", nsubj ROOT det nummod punct nmod punct nmod punct dobj punct punct mark det nsubj aux advcl prep prep poss compound pobj prep pcomp punct," it take a 2 - tuple ( host , port ) , for the socket to bind to as its source address before connect .",1
If omitted (or if host or port are '' and/or 0, SCONJ VERB PUNCT CCONJ SCONJ NOUN CCONJ NOUN AUX PUNCT CCONJ X, IN VBN -LRB- CC IN NN CC NN VBP '' CC ADD, mark ROOT punct cc mark nsubj cc conj conj punct cc punct, if omit ( or if host or port be '' and/or 0,1
respectively) the OS default behavior will be used., ADV PUNCT DET PROPN NOUN NOUN AUX AUX VERB PUNCT, RB -RRB- DT NNP NN NN MD VB VBN ., advmod punct det compound compound nsubjpass aux auxpass ROOT punct, respectively ) the OS default behavior will be use .,1
