_text,lemmaSeq,depSeq,tagSeq,posSeq
"I go to school by bus.
"," I go to school by bus . 
", nsubj ROOT prep pobj prep pobj punct dep, PRP VBP IN NN IN NN . _SP, PRON VERB ADP NOUN ADP NOUN PUNCT SPACE
"She go to work by taxi.
"," she go to work by taxi . 
", nsubj ROOT prep pobj prep pobj punct dep, PRP VBP IN NN IN NN . _SP, PRON VERB ADP NOUN ADP NOUN PUNCT SPACE
"This module implements pseudo-random number generators for various distributions.
"," this module implement pseudo - random number generator for various distribution . 
", det nsubj ROOT amod amod amod compound dobj prep amod pobj punct dep, DT NN VBZ JJ JJ JJ NN NNS IN JJ NNS . _SP, DET NOUN VERB ADJ ADJ ADJ NOUN NOUN ADP ADJ NOUN PUNCT SPACE
"For integers, uniform selection from a range."," for integer , uniform selection from a range .", prep pobj punct amod ROOT prep det pobj punct," IN NNS , JJ NN IN DT NN .", ADP NOUN PUNCT ADJ NOUN ADP DET NOUN PUNCT
"For sequences, uniform selection of a random element, a function to generate a random permutation of a list in-place, and a function for random sampling without replacement.
"," for sequence , uniform selection of a random element , a function to generate a random permutation of a list in - place , and a function for random sampling without replacement . 
", prep pobj punct amod appos prep det amod pobj punct det ROOT aux relcl det amod dobj prep det pobj prep punct pobj punct cc det conj prep amod pobj prep pobj punct dep," IN NNS , JJ NN IN DT JJ NN , DT NN TO VB DT JJ NN IN DT NN IN HYPH NN , CC DT NN IN JJ NN IN NN . _SP", ADP NOUN PUNCT ADJ NOUN ADP DET ADJ NOUN PUNCT DET NOUN PART VERB DET ADJ NOUN ADP DET NOUN ADP PUNCT NOUN PUNCT CCONJ DET NOUN ADP ADJ NOUN ADP NOUN PUNCT SPACE
"On the real line, there are functions to compute uniform, normal (Gaussian), lognormal, negative exponential, gamma, and beta distributions."," on the real line , there be function to compute uniform , normal ( Gaussian ) , lognormal , negative exponential , gamma , and beta distribution .", prep det amod pobj punct expl ROOT attr aux acl dobj punct amod punct appos punct punct conj punct amod conj punct conj punct cc compound conj punct," IN DT JJ NN , EX VBP NNS TO VB NN , JJ -LRB- NNP -RRB- , NNP , JJ NN , NN , CC NN NNS .", ADP DET ADJ NOUN PUNCT PRON VERB NOUN PART VERB NOUN PUNCT ADJ PUNCT PROPN PUNCT PUNCT PROPN PUNCT ADJ NOUN PUNCT NOUN PUNCT CCONJ NOUN NOUN PUNCT
"For generating distributions of angles, the von Mises distribution is available.
"," for generate distribution of angle , the von Mises distribution be available . 
", prep amod pobj prep pobj punct det compound compound nsubj ROOT acomp punct dep," IN VBG NNS IN NNS , DT NNP NNP NN VBZ JJ . _SP", ADP VERB NOUN ADP NOUN PUNCT DET PROPN PROPN NOUN AUX ADJ PUNCT SPACE
"Almost all module functions depend on the basic function random(), which generates a random float uniformly in the semi-open range [0.0, 1.0)."," almost all module function depend on the basic function random ( ) , which generate a random float uniformly in the semi - open range [ 0.0 , 1.0 ) .", advmod det compound nsubj ROOT prep det amod pobj amod punct punct punct nsubj relcl det amod dobj advmod prep det amod amod amod pobj nmod npadvmod punct appos punct punct," RB DT NN NNS VBP IN DT JJ NN JJ -LRB- -RRB- , WDT VBZ DT JJ NN RB IN DT JJ JJ JJ NN XX CD , CD -RRB- .", ADV DET NOUN NOUN VERB ADP DET ADJ NOUN ADJ PUNCT PUNCT PUNCT PRON VERB DET ADJ NOUN ADV ADP DET ADJ ADJ ADJ NOUN X NUM PUNCT NUM PUNCT PUNCT
Python uses the Mersenne Twister as the core generator., Python use the Mersenne Twister as the core generator ., nsubj ROOT det compound dobj prep det compound pobj punct, NNP VBZ DT NNP NNP IN DT NN NN ., PROPN VERB DET PROPN PROPN ADP DET NOUN NOUN PUNCT
It produces 53-bit precision floats and has a period of 2**19937-1., it produce 53 - bit precision float and have a period of 2**19937 - 1 ., nsubj ROOT nummod punct compound compound dobj cc conj det dobj prep pobj punct prep punct, PRP VBZ CD HYPH NN NN NNS CC VBZ DT NN IN CD HYPH CD ., PRON VERB NUM PUNCT NOUN NOUN NOUN CCONJ VERB DET NOUN ADP NUM PUNCT NUM PUNCT
